t,x_x,x_y,x_z,y_x_obs,y_z_obs
3.39,-10.08327263,-10.60288681,28.36765369,-9.307866343,28.03379783
3.4,-10.12531345,-10.44497053,28.67088086,-8.491761714,29.92105127
3.41,-10.14694678,-10.25894664,28.95220943,-7.643496759,27.9095636
3.42,-10.1475683,-10.04756917,29.20734332,-11.01838324,28.24913698
3.43,-10.12692114,-9.814154043,29.43247489,-8.545317701,32.42922377
3.44,-10.0851118,-9.562482426,29.62439082,-11.00279278,28.77484336
3.45,-10.02261428,-9.296683734,29.78055421,-9.394459829,29.28903121
3.46,-9.940262055,-9.021105293,29.89915829,-8.036154748,25.39560371
3.47,-9.839228036,-8.74017631,29.97914966,-11.49263813,28.41431699
3.48,-9.720993523,-8.458274144,30.02022092,-14.36170555,28.09294403
3.49,-9.587307838,-8.179600352,30.022775,-11.41762007,29.6205657
3.5,-9.440140718,-7.908072783,29.98786527,-7.214208934,29.49774397
3.51,-9.281629945,-7.64723841,29.91711674,-11.34325739,29.80320766
3.52,-9.114026792,-7.400209646,29.81263472,-7.01567955,27.86071709
3.53,-8.939641775,-7.169625009,29.67690708,-10.76079154,30.794005
3.54,-8.760792968,-6.957633235,29.51270607,-9.203865199,30.80767545
3.55,-8.579758774,-6.765898507,29.3229947,-8.607052358,30.72632199
3.56,-8.398736579,-6.595623465,29.11084159,-10.46889281,29.08667229
3.57,-8.219808225,-6.447586065,28.87934708,-8.641188254,26.44756523
3.58,-8.044912788,-6.3221862,28.63158194,-11.17186868,30.00308001
3.59,-7.875826691,-6.219498127,28.37053927,-8.577731456,26.32597871
3.6,-7.714150834,-6.139325169,28.09909908,-7.906508708,30.35513679
3.61,-7.56130414,-6.08125372,27.82000453,-12.12277983,24.82672715
3.62,-7.418522732,-6.044704205,27.53584847,-9.264295616,30.4582062
3.63,-7.286863806,-6.028977297,27.24906835,-6.72168984,28.78370283
3.64,-7.167213268,-6.033294264,26.96194812,-9.447535106,24.72287637
3.65,-7.060296167,-6.056830829,26.67662522,-6.164668734,26.79317388
3.66,-6.966689037,-6.098744348,26.39510124,-5.869211399,26.01975926
3.67,-6.886833328,-6.158194404,26.11925508,-6.330545875,26.43549325
3.68,-6.821049214,-6.234357135,25.8508573,-5.265514436,27.46487386
3.69,-6.769549171,-6.32643379,25.59158492,-10.00929316,21.09704781
3.7,-6.732450808,-6.433654023,25.34303594,-4.728960013,27.71848613
3.71,-6.709788571,-6.555274516,25.10674294,-8.75103461,21.38707212
3.72,-6.701523991,-6.690573474,24.88418536,-6.503454349,26.74586181
3.73,-6.707554259,-6.838841549,24.67680013,-3.112365214,25.70939528
3.74,-6.727718966,-6.999369649,24.48599023,-7.471152359,22.69972898
3.75,-6.761804912,-7.171434129,24.31313091,-6.738902329,23.7146015
